Unnamed: 0,ID,PRODUCT,PROD_LVL,SPECIALTY,SP_SOURCE,WEEK,INDICATION,MARKET_FLAG,METRIC,TOTAL_RX,ORIGINAL_TOTAL_RX,MONTH,YEAR,Anomaly Introduced,pred,month,predicted,residuals,anomaly,upper_threshold,lower_threshold,residual_category
26378,ZpXe6CmS,Brand5,2,NP,PHARMACY,2023-10-02,Indication4,Not Available,NBRX,0.0,0.0,10,2023,No,0,Oct,5.7809124,5.780912399291992,False,236.32560347192384,-100.64219257104493,Not Anomalous
26364,NbkyB9ly,Brand4,1,NP,PHARMACY,2023-10-02,Indication6,Other Market,MOTRX,1.4861,1.4861,10,2023,No,1,Oct,1105.3347,1103.848616796875,True,544.1072336038818,-234.97761136267093,Low
34834,m8wVTvsm,Brand11,2,NP,PHARMACY,2023-10-02,Indication4,Not Available,MOTRX,12.6022,12.6022,10,2023,No,0,Oct,62.50698,49.9047808959961,False,287.687635024231,-118.80187021710205,Not Anomalous
26366,OvX7Pjei,Brand4,2,NP,PHARMACY,2023-10-02,Indication6,Not Available,NBRX,0.0,0.0,10,2023,No,0,Oct,58.38789,58.38788986206055,False,544.1072336038818,-234.97761136267093,Not Anomalous
26367,Sz5s2zNi,Brand4,1,PED,PHARMACY,2023-10-02,Indication5,Other Market,MOTRX,828.0608,828.0608,10,2023,No,0,Oct,477.2525,350.8082975585937,False,461.76251309765627,-170.0425363154297,Not Anomalous
26340,sSYZY3IG,Brand6,1,NP,PHARMACY,2023-10-02,Indication10,Not Available,MOTRX,7.5122,7.5122,10,2023,No,0,Oct,10.286627,2.7744268157958984,False,196.84603780755612,-82.47738343743896,Not Anomalous
26368,Tq5dEJcc,Brand22,2,NP,PHARMACY,2023-10-02,Indication6,Not Available,MOTRX,349.2639,349.2639,10,2023,No,1,Oct,535.8835,186.61958388671877,True,180.86158741458127,-74.79191398928832,Low
26381,uLUp5HC1,Brand23,2,NP,MEDICAL BENEFIT,2023-10-02,Indication6,IV Market,MOTRX,9.192,9.192,10,2023,No,0,Oct,384.6887,375.49669018554687,False,385.40750783068853,-146.99200780627444,Not Anomalous
26379,4O8uZfiF,Brand30,1,NP,PHARMACY,2023-10-02,Indication4,Not Available,MOTRX,3.742459398,3.742459398,10,2023,No,0,Oct,36.307682,32.565222639353514,False,316.96051964477533,-119.89236394409176,Not Anomalous
26370,j76egsVd,Brand22,1,NP,PHARMACY,2023-10-02,Indication4,Not Available,TRX,2.7312,2.7312,10,2023,No,0,Oct,37.44067,34.70947001342773,False,180.86158741458127,-74.79191398928832,Not Anomalous
26371,f9coyyxc,Brand1,2,NP,PHARMACY,2023-10-02,Indication6,IV Market,NBRX,10.6694,10.6694,10,2023,No,0,Oct,1.5052449,9.164155148887634,False,326.91918591369614,-123.15046228088372,Not Anomalous
26374,RKXNyFFX,Brand40,2,NP,PHARMACY,2023-10-02,Indication11,Not Available,MOTRX,320.2494,320.2494,10,2023,No,0,Oct,156.30501,163.94439206542967,False,287.4982405510254,-107.71269371264647,Not Anomalous
26375,blycqHs0,Brand15,2,NP,PHARMACY,2023-10-02,Indication6,Other Market,TRX,727.8742,727.8742,10,2023,No,0,Oct,846.83984,118.96564375000003,False,252.16189322576906,-103.81245372381592,Not Anomalous
26376,4RigscJu,Brand8,1,NP,PHARMACY,2023-10-02,Indication6,Not Available,TRX,3.8929,3.8929,10,2023,No,0,Oct,49.57539,45.68248986206055,False,527.5507865922852,-205.51809088916016,Not Anomalous
26377,4F3TBt5Y,Brand24,1,NP,PHARMACY,2023-10-02,Indication6,Oral Market,TRX,771.0851,771.0851,10,2023,No,1,Oct,1107.3245,336.239362890625,True,230.90662303582764,-97.1732473522339,Low
26363,5JYgZS3t,Brand22,2,NP,PHARMACY,2023-10-02,Indication11,Not Available,MOTRX,175.5753,175.5753,10,2023,No,0,Oct,140.28526,35.29003693847656,False,180.86158741458127,-74.79191398928832,Not Anomalous
26369,b8macQOC,Brand5,1,NP,PHARMACY,2023-10-02,Indication10,Other Market,MOTRX,21.2335,21.2335,10,2023,No,0,Oct,54.218452,32.98495245361328,False,236.32560347192384,-100.64219257104493,Not Anomalous
26372,qlaKX25B,Brand41,1,OTHERS,PHARMACY,2023-10-02,Indication11,Not Available,NBRX,4.3719,4.3719,10,2023,No,0,Oct,-100.09317,104.46507016601562,False,249.05180052194214,-88.03706235818481,Not Anomalous
26353,KeSsjfio,Brand7,2,NP,PHARMACY,2023-10-02,Indication10,Not Available,MOTRX,66.6824,66.6824,10,2023,No,0,Oct,-35.531322,102.21372247924805,False,1079.735429128296,-455.56187615588374,Not Anomalous
26361,Z0UQyVpp,Brand5,2,NP,PHARMACY,2023-10-02,Indication4,Not Available,TRX,342.6159,342.6159,10,2023,No,0,Oct,128.39261,214.22329135742189,False,236.32560347192384,-100.64219257104493,Not Anomalous
26342,YS41SU8O,Brand12,2,NP,PHARMACY,2023-10-02,Indication6,IV Market,MOTRX,63.3404,63.3404,10,2023,No,0,Oct,41.10652,22.23387839355469,False,152.41129333837893,-47.86098921240235,Not Anomalous
26343,oe4nD4tF,Brand30,2,NP,PHARMACY,2023-10-02,Indication6,Not Available,TRX,424.1029839,424.1029839,10,2023,No,0,Oct,218.7112,205.39178700058596,False,316.96051964477533,-119.89236394409176,Not Anomalous
26341,HuqAxh6m,Brand6,1,NP,PHARMACY,2023-10-02,Indication10,Not Available,NBRX,1.6063,1.6063,10,2023,No,0,Oct,16.064234,14.457933779907226,False,196.84603780755612,-82.47738343743896,Not Anomalous
26344,LEtojiW2,Brand24,1,NP,PHARMACY,2023-10-02,Indication6,Oral Market,TRX,2967.541,2967.541,10,2023,No,1,Oct,1115.3057,1852.2353359375002,True,230.90662303582764,-97.1732473522339,Low
26345,lChO9nNp,Brand19,2,NP,PHARMACY,2023-10-02,Indication6,Other Market,NBRX,18.6674,18.6674,10,2023,No,0,Oct,19.91772,1.2503207946777337,False,167.09792920574952,-67.40250277752685,Not Anomalous
26346,YldvEa08,Brand17,2,NP,MEDICAL BENEFIT,2023-10-02,Indication6,IV Market,MOTRX,175.8021,175.8021,10,2023,No,1,Oct,371.49747,195.69536704101563,True,123.7145403911133,-44.559504172851575,Low
26347,4WKAg4wG,Brand3,2,NP,PHARMACY,2023-10-02,Indication4,Not Available,MOTRX,44.9188,44.9188,10,2023,No,0,Oct,44.102947,0.8158527648925755,False,254.13225385144042,-112.20067562878418,Not Anomalous
26348,9pvHhI0Y,Brand22,2,PED,PHARMACY,2023-10-02,Indication5,Not Available,TRX,2304.0947,2304.0947,10,2023,No,0,Oct,2157.5076,146.5871316406251,False,229.35400553018184,-98.73460865213012,Not Anomalous
34648,HY9AYULL,Brand11,2,NP,PHARMACY,2023-10-02,Indication10,Not Available,TRX,13.0494,13.0494,10,2023,No,0,Oct,27.04113,13.991730065917968,False,287.687635024231,-118.80187021710205,Not Anomalous
34747,NLfzf2f9,Brand11,1,NP,PHARMACY,2023-10-02,Indication10,Other Market,MOTRX,13.0494,13.0494,10,2023,No,0,Oct,-56.48045,69.52984967651368,False,287.687635024231,-118.80187021710205,Not Anomalous
